u,i,r,t
1647,1975,3.0,1383868800
1647,913,3.0,1263686400
1647,5266,3.0,1404000000
1647,1131,4.0,1268352000
1647,4621,4.0,1313280000
1647,9784,5.0,1170633600
1647,563,4.0,1388361600
1647,3060,4.0,1385769600
1067,1735,4.0,1014768000
1067,1206,3.0,1034812800
1067,40,5.0,1399939200
1067,2899,5.0,1205712000
1067,24,5.0,1037059200
1067,250,3.0,1012348800
1067,46,5.0,1096848000
1067,3,5.0,1078444800
1067,3110,5.0,1012435200
1067,5875,5.0,1038700800
1067,1168,5.0,1372204800
1067,227,5.0,1059782400
1067,47,4.0,1040688000
1067,4999,5.0,1339113600
1067,290,5.0,1129507200
1067,26,1.0,1096934400
1067,11,4.0,1013904000
1067,4573,2.0,1370908800
1067,6268,5.0,1059868800
1067,3775,5.0,1370908800
1067,170,5.0,1398038400
1067,5411,5.0,1027555200
1067,1128,5.0,1229299200
1067,7081,5.0,1046044800
1067,400,4.0,1129507200
2025,39,5.0,1073260800
2025,528,4.0,1173830400
2025,2585,5.0,1090800000
2025,120,5.0,1093219200
2025,4584,5.0,970099200
2025,1467,4.0,1078704000
2025,142,5.0,1073347200
2025,134,1.0,1041811200
2025,280,3.0,1103155200
2025,3,5.0,1078099200
2025,9094,4.0,1068768000
2025,227,3.0,1042761600
2025,31,3.0,1029456000
2025,162,2.0,1073260800
2025,124,2.0,1046131200
2025,1014,3.0,1044748800
2025,203,4.0,1028160000
927,2121,4.0,1156723200
927,1117,5.0,1216166400
927,1255,4.0,1210204800
927,676,4.0,1156809600
927,7201,4.0,1156723200
927,3284,4.0,1220832000
927,8701,3.0,1156636800
927,353,5.0,1156723200
927,113,2.0,1213747200
927,1668,3.0,1205452800
927,61,4.0,1156723200
927,6004,1.0,1207958400
927,3276,4.0,1213142400
927,2909,5.0,1214006400
927,7651,3.0,1156636800
927,1786,2.0,1220140800
927,1563,5.0,1156723200
927,1097,2.0,1156636800
927,270,2.0,1156636800
927,140,5.0,1226102400
927,55,3.0,1212278400
927,5227,5.0,1156636800
927,8948,2.0,1206057600
927,1840,4.0,1176595200
927,1584,3.0,1156723200
927,711,1.0,1156723200
927,1986,5.0,1156636800
927,116,5.0,1156723200
927,8620,1.0,1156723200
927,35,2.0,1156723200
927,27,4.0,1156723200
927,3193,4.0,1156723200
2280,3106,5.0,1096761600
2280,5953,5.0,1126224000
2280,2049,5.0,1119571200
2280,2285,5.0,1126137600
2280,114,5.0,1121990400
2280,2139,5.0,1121558400
2280,5469,4.0,1118102400
2280,3223,5.0,1119312000
2280,495,5.0,1121126400
2280,534,5.0,1121644800
2280,4330,5.0,1124668800
2280,21,5.0,1123027200
2280,7806,5.0,1120435200
2280,9943,4.0,1118016000
2280,3785,5.0,1124236800
2280,4029,5.0,1126051200
2280,5804,3.0,1118016000
2280,165,5.0,1121040000
2280,8830,5.0,1121558400
2280,4040,5.0,1119139200
2280,2121,5.0,1121558400
2280,716,1.0,1126137600
2280,2732,5.0,1126742400
2280,468,5.0,1116374400
2280,108,1.0,1121040000
2280,1554,5.0,1121558400
2280,5823,5.0,1122508800
2280,296,5.0,1125964800
2280,6620,5.0,1124409600
2280,823,5.0,1121558400
2280,3127,5.0,1119571200
2280,3753,4.0,1123977600
692,576,4.0,1084665600
692,703,5.0,1105833600
692,8077,4.0,1069891200
692,1031,5.0,1107907200
692,979,4.0,1098835200
692,7543,3.0,1129075200
692,4384,3.0,1079740800
692,1183,3.0,1177718400
692,2946,4.0,1110585600
692,676,5.0,1089936000
692,2799,4.0,1081382400
692,1986,5.0,1095292800
692,2360,4.0,1067126400
692,3450,4.0,1091491200
692,1990,5.0,1124582400
692,7400,3.0,1088035200
692,3137,4.0,1084492800
692,1681,4.0,1105747200
692,3533,3.0,1091059200
692,7973,3.0,1077235200
692,210,5.0,1048204800
692,3700,4.0,1086048000
692,1563,3.0,1094515200
692,8868,4.0,1095120000
692,726,3.0,1069891200
692,680,4.0,1090022400
692,10232,4.0,1078876800
692,2388,3.0,1067817600
692,2952,5.0,1193875200
692,441,2.0,1176076800
692,8550,3.0,1105747200
692,403,3.0,1078963200
517,1182,5.0,1192752000
517,1082,4.0,1067299200
517,7826,3.0,1222128000
517,419,3.0,1116720000
517,16,5.0,1116720000
517,500,5.0,1167177600
517,292,3.0,1195862400
517,3412,5.0,1065571200
517,30,2.0,1212451200
517,2466,4.0,1167436800
517,1518,3.0,1097712000
517,1093,4.0,1081296000
517,6305,3.0,1183680000
517,332,5.0,1071964800
517,466,4.0,1313625600
517,4296,2.0,1070064000
517,811,3.0,1147305600
517,6835,2.0,1191888000
517,1362,4.0,1153612800
517,1348,3.0,1167436800
517,2428,4.0,1190764800
517,2371,4.0,1307836800
517,499,5.0,1067558400
517,5557,3.0,1057104000
517,3327,4.0,1305417600
517,323,2.0,1144972800
517,1176,4.0,1144800000
517,131,4.0,1134086400
517,199,5.0,1184198400
517,918,3.0,1144713600
517,47,5.0,1092873600
517,137,4.0,1202947200
2362,739,4.0,1353196800
2362,982,4.0,1025827200
2362,4905,5.0,962582400
2362,3,5.0,1397779200
2362,24,4.0,1026259200
2362,65,5.0,987638400
2362,325,3.0,968284800
2362,86,4.0,1194307200
2362,2261,2.0,1342396800
2362,10,1.0,1391990400
2362,1285,5.0,967075200
2362,5593,4.0,968112000
2362,2321,4.0,1328832000
2362,221,5.0,964051200
2888,89,5.0,1160352000
2888,355,5.0,1159747200
2888,1397,4.0,1161993600
2888,1021,4.0,1129075200
2888,1264,4.0,1148947200
2888,1116,5.0,1176508800
2888,118,5.0,1145232000
2888,2783,4.0,1133740800
2888,69,4.0,1142035200
2888,4452,4.0,1152403200
2888,4541,4.0,1131667200
2888,4,4.0,1130025600
2888,923,4.0,1151798400
2888,1770,4.0,1134864000
2888,20,5.0,1144108800
2888,3,5.0,1175990400
1745,2042,5.0,961113600
1745,2846,5.0,967593600
1745,3,1.0,1107820800
1745,3601,5.0,960854400
1745,1896,5.0,964483200
1745,9406,4.0,1037232000
1745,715,5.0,1147132800
1745,3011,5.0,1178150400
1745,6567,5.0,983923200
1745,571,3.0,1196294400
1745,42,4.0,1100217600
1745,135,3.0,1155945600
1745,657,5.0,1108425600
1745,8640,5.0,1089417600
1745,546,5.0,1005436800
1745,2212,4.0,1172361600
1745,2174,5.0,1282780800
1745,995,5.0,1187481600
1745,9193,5.0,1003622400
1745,4082,4.0,1089590400
1745,1173,5.0,1176249600
1745,9187,5.0,964569600
1745,7860,5.0,948672000
1745,10125,5.0,964569600
1745,867,5.0,1049414400
1745,31,5.0,1050105600
1745,5699,5.0,1126310400
1745,2979,5.0,973036800
1745,1995,5.0,1222560000
1745,7565,5.0,1105315200
1745,130,5.0,1061164800
1745,3938,5.0,1005523200
1821,3818,5.0,1161388800
1821,4096,5.0,1163635200
1821,5359,5.0,1163635200
1821,2168,5.0,1172188800
1821,163,5.0,1160784000
1821,8267,5.0,1163635200
1821,7405,5.0,1161302400
1821,5969,5.0,1160784000
1821,3049,5.0,1163635200
1821,723,4.0,1163635200
1821,95,5.0,1174348800
1821,3,3.0,1163635200
1821,674,4.0,1173225600
715,3179,3.0,1207785600
715,7102,4.0,1201478400
715,2579,3.0,1108166400
715,716,5.0,1093824000
715,3086,5.0,1214697600
715,7567,2.0,1226448000
715,927,3.0,1204848000
715,1909,4.0,1233187200
715,2683,4.0,1216684800
715,1280,3.0,1200441600
715,310,4.0,1265932800
715,7369,4.0,1193356800
715,4131,4.0,1197849600
715,3241,5.0,1205712000
715,1382,5.0,1213228800
715,8990,5.0,1210723200
715,5679,4.0,1222905600
715,6616,2.0,1117756800
715,3466,4.0,1223337600
715,2684,4.0,1223510400
715,645,3.0,1204934400
715,2665,3.0,1204502400
715,431,4.0,1198972800
715,8540,2.0,1223424000
715,2096,2.0,1223078400
715,3728,4.0,1225756800
715,188,3.0,1093132800
715,7277,4.0,1092441600
715,3103,4.0,1238803200
715,9780,4.0,1206835200
715,2190,4.0,1207699200
715,6264,4.0,1222992000
431,3,1.0,1162771200
431,210,4.0,1162252800
431,1182,3.0,1162684800
431,492,5.0,1162252800
431,1480,2.0,1162512000
431,842,3.0,1163462400
431,2447,1.0,1168819200
431,1612,5.0,1162598400
431,711,3.0,1162512000
431,849,5.0,1162512000
431,590,3.0,1196208000
431,719,5.0,1162252800
431,34,3.0,1162598400
431,36,4.0,1162684800
431,118,4.0,1196121600
431,1255,3.0,1162857600
431,1323,5.0,1162339200
431,3059,2.0,1162684800
431,10313,4.0,1169164800
431,185,4.0,1162684800
431,4719,2.0,1162684800
431,778,4.0,1178236800
431,1438,2.0,1178323200
431,149,2.0,1162684800
431,27,2.0,1162252800
431,88,4.0,1162684800
431,53,3.0,1162684800
431,293,4.0,1178236800
431,165,4.0,1162684800
431,135,3.0,1169337600
431,102,5.0,1168819200
431,813,4.0,1234051200
1098,2176,2.0,1278892800
1098,3342,4.0,1128384000
1098,7104,5.0,1302307200
1098,131,3.0,1141171200
1098,30,4.0,1212019200
1098,1330,4.0,1109635200
1098,753,4.0,1147910400
1098,22,3.0,1224547200
1098,8842,4.0,1265068800
1098,5227,4.0,1213660800
1098,26,5.0,1097193600
1098,211,3.0,1139356800
1098,81,4.0,1111968000
1098,2821,4.0,1085443200
1098,6063,4.0,1288915200
1098,889,5.0,1152748800
1098,4632,5.0,1272153600
1098,633,5.0,1125360000
1098,7591,4.0,1199836800
1098,2326,4.0,1278633600
1098,5008,4.0,1179273600
1098,7930,4.0,1141344000
1098,9470,2.0,1089936000
1098,43,4.0,1140739200
1098,5890,4.0,1126742400
1098,6334,2.0,1110326400
1098,2830,4.0,1092787200
1098,8927,3.0,1133827200
1098,8478,4.0,1160006400
1098,110,2.0,1203120000
1098,851,3.0,1110240000
1098,8810,4.0,1228348800
2089,90,5.0,1095120000
2089,729,4.0,1117929600
2089,222,5.0,1085356800
2089,105,5.0,1117929600
2089,271,4.0,1088812800
2089,12,4.0,1073088000
2089,86,4.0,1091836800
2089,878,3.0,1076457600
2089,39,4.0,1085788800
2089,496,2.0,1094860800
2089,121,3.0,1091059200
2089,985,5.0,1081382400
2089,61,5.0,1088899200
2089,3,5.0,1079740800
2089,192,4.0,1117843200
2089,281,5.0,1079740800
2089,1528,4.0,1117411200
2089,5112,3.0,1076976000
2089,5418,2.0,1077321600
2089,203,5.0,1116547200
2089,1386,5.0,1078444800
2089,2072,4.0,1116028800
2089,391,5.0,1070668800
2089,1654,5.0,1073088000
2089,5957,3.0,1093824000
2089,323,3.0,1126828800
2089,350,4.0,1082419200
837,363,2.0,1066953600
837,807,5.0,1237766400
837,570,2.0,1066694400
837,686,5.0,1129852800
837,2160,5.0,1128902400
837,796,4.0,1228262400
837,198,5.0,1132963200
837,10062,5.0,1075766400
837,2773,5.0,1225929600
837,4716,1.0,1110672000
837,4665,2.0,1112486400
837,5339,1.0,1133913600
837,802,1.0,1074470400
837,1019,1.0,1076371200
837,6171,5.0,1153353600
837,4117,5.0,1162771200
837,6304,5.0,1129420800
837,345,2.0,1106611200
837,125,3.0,1074038400
837,114,5.0,1073088000
837,858,3.0,1203724800
837,7559,5.0,1177200000
837,1701,5.0,1073520000
837,20,5.0,1134777600
837,1623,5.0,1201219200
837,1905,5.0,1111968000
837,4798,1.0,1220832000
837,5525,5.0,1073347200
837,1195,5.0,1067126400
837,1839,5.0,1072742400
837,2554,5.0,1065916800
837,1394,3.0,1111708800
1283,1695,5.0,1067299200
1283,7243,4.0,997315200
1283,3946,3.0,1045440000
1283,2353,4.0,1116806400
1283,459,4.0,1076371200
1283,5432,5.0,1117670400
1283,7060,4.0,1047772800
1283,33,5.0,1201996800
1283,1008,3.0,1078099200
1283,3120,1.0,1092960000
1283,9735,5.0,1107302400
1283,1775,5.0,1049587200
1283,2499,3.0,1066953600
1283,1151,5.0,1083801600
1283,717,4.0,1078185600
1283,4938,2.0,1095033600
1283,2674,3.0,1068076800
1283,3843,5.0,1203292800
1283,2421,2.0,1047168000
1283,26,2.0,1104364800
1283,1068,3.0,1012780800
1283,3762,5.0,1276041600
1283,851,1.0,1065571200
1283,4571,4.0,1026950400
1283,7723,5.0,1206230400
1283,6897,2.0,1087948800
1283,4010,3.0,1063238400
1283,481,4.0,1047254400
1283,5629,5.0,1076630400
1283,5967,4.0,1095206400
1283,2823,5.0,956534400
1283,8047,3.0,1056758400
1701,106,4.0,1067731200
1701,5526,5.0,1031356800
1701,6547,4.0,1094256000
1701,3089,4.0,1082937600
1701,5396,5.0,1094169600
1701,1036,5.0,1014076800
1701,715,4.0,1075852800
1701,139,4.0,1079827200
1701,203,2.0,1067731200
1701,4496,5.0,1074729600
1701,4927,5.0,1014076800
1701,3,3.0,1079827200
2266,41,5.0,1316304000
2266,7592,5.0,1188086400
2266,1846,5.0,1186790400
2266,775,4.0,1222560000
2266,868,4.0,1222560000
2266,6095,5.0,1268092800
2266,1221,5.0,1226102400
2266,2262,5.0,1194566400
2266,257,5.0,1309737600
2266,455,5.0,1226102400
2266,2132,5.0,1200441600
2266,3,4.0,1194566400
2266,89,5.0,1362700800
2266,747,5.0,1259107200
2266,265,5.0,1214352000
2266,117,4.0,1196035200
2266,334,5.0,1214352000
2266,7600,5.0,1349654400
2266,2690,5.0,1313798400
2266,807,5.0,1371600000
2266,4503,5.0,1225324800
2266,495,5.0,1214352000
2266,1910,4.0,1214352000
2266,576,5.0,1185580800
2266,2798,5.0,1289088000
2266,4724,5.0,1216684800
2266,3524,5.0,1350172800
2266,2756,5.0,1332374400
2266,3885,5.0,1324771200
2266,796,5.0,1185494400
1281,23,5.0,1107561600
1281,4408,5.0,1107043200
1281,534,5.0,1109376000
1281,819,5.0,1109030400
1281,42,2.0,1111708800
1281,5162,4.0,1109376000
1281,65,5.0,1121126400
1281,3,3.0,1107561600
1281,578,4.0,1107648000
1281,1659,4.0,1108166400
1281,151,4.0,1111795200
1281,655,5.0,1109376000
1281,1879,5.0,1109376000
1281,2295,5.0,1116028800
1281,1227,5.0,1107648000
1281,26,4.0,1107907200
1281,142,4.0,1127606400
1281,1424,4.0,1110672000
1281,6393,5.0,1107043200
1281,455,4.0,1107907200
1281,353,4.0,1109030400
1657,1722,5.0,1142208000
1657,3274,5.0,1089244800
1657,2315,5.0,1114560000
1657,2465,2.0,1132531200
1657,7903,4.0,1097452800
1657,408,3.0,1125878400
1657,2845,5.0,1096848000
1657,536,5.0,1085702400
1657,17,5.0,1130630400
1657,2054,5.0,1087948800
1657,1661,5.0,1097884800
1657,1640,5.0,1091491200
1657,89,1.0,1085702400
1657,1247,4.0,1092528000
1657,393,2.0,1089504000
1657,4032,4.0,1100131200
1657,165,5.0,1108944000
1657,2910,3.0,1105833600
1657,964,5.0,1137888000
1657,1033,3.0,1121040000
1657,113,2.0,1127001600
1657,83,4.0,1118534400
1657,65,2.0,1098316800
1657,2766,5.0,1086825600
1657,314,5.0,1085788800
1657,859,5.0,1096934400
1657,192,5.0,1086825600
1657,332,4.0,1085702400
1657,851,3.0,1142208000
1657,3,3.0,1086825600
1657,34,5.0,1140998400
1657,1169,3.0,1145750400
1715,333,5.0,1025913600
1715,4460,4.0,1036972800
1715,3044,5.0,1030924800
1715,501,4.0,1026604800
1715,1275,3.0,1088121600
1715,11,5.0,1083801600
1715,1463,2.0,1083974400
1715,218,4.0,1088726400
1715,78,4.0,1090800000
1715,4659,4.0,1021075200
1715,1152,1.0,1046131200
1715,356,2.0,1079481600
1715,2697,4.0,1009324800
1715,117,5.0,1166659200
1715,1509,4.0,1021161600
1715,448,5.0,1031443200
1715,5066,1.0,1034035200
1715,5659,4.0,1079568000
1715,318,5.0,1020816000
1715,584,5.0,999475200
1715,2383,3.0,1031443200
1715,121,3.0,1090800000
1715,5853,4.0,1009324800
1715,1304,4.0,1009324800
1715,6154,4.0,1182729600
1715,2550,1.0,1051920000
1715,1603,4.0,1139270400
1715,1626,4.0,1029715200
1715,527,2.0,1025740800
1715,699,2.0,1088121600
1715,2497,5.0,1022630400
1715,915,5.0,1024963200
818,6576,5.0,1140220800
818,395,4.0,1371772800
818,477,4.0,1034121600
818,1171,4.0,1028851200
818,203,3.0,1051833600
818,308,2.0,1074211200
818,8305,4.0,1023148800
818,559,4.0,1022889600
818,5223,3.0,1025827200
818,2593,2.0,1025654400
818,175,4.0,1370908800
818,139,5.0,1022889600
818,1623,5.0,1371772800
818,885,4.0,1029456000
818,1288,5.0,1371427200
818,2128,4.0,1097366400
818,942,4.0,1025654400
818,2079,4.0,1371427200
818,11,2.0,1049760000
818,9766,4.0,1023148800
818,962,4.0,1029283200
818,382,5.0,1050883200
818,109,5.0,1055894400
818,119,5.0,1083024000
818,166,5.0,1062547200
818,320,4.0,1043625600
818,2851,2.0,1055116800
818,3,5.0,1082592000
818,928,4.0,1029283200
818,1470,4.0,1059350400
818,927,2.0,1372032000
818,792,5.0,1036713600
1810,3299,1.0,1175385600
1810,9688,5.0,1077494400
1810,2105,1.0,1105056000
1810,8246,5.0,1270684800
1810,6935,5.0,1189900800
1810,324,1.0,1111017600
1810,3,5.0,1077148800
1810,2702,5.0,1104451200
1810,3524,5.0,1150156800
1810,1066,5.0,1124064000
1810,1083,5.0,1055030400
1810,2948,4.0,1061769600
1810,36,2.0,1142899200
1810,1062,1.0,1119139200
1810,6446,4.0,1082419200
1810,2934,4.0,1055894400
1810,2335,1.0,1164585600
1810,991,1.0,1161820800
1810,5899,5.0,1212710400
1810,989,5.0,1111276800
1810,8212,3.0,1151020800
1810,1889,5.0,1161129600
1810,1659,3.0,1055808000
1810,4289,5.0,1161820800
1810,27,5.0,1134518400
1810,4565,4.0,1360713600
1810,322,4.0,1157846400
1810,9505,1.0,1269907200
1810,198,5.0,1154995200
1810,1241,1.0,1144713600
1810,706,4.0,1143936000
1810,2040,5.0,1185667200
2117,7052,4.0,1073001600
2117,2082,4.0,1065052800
2117,890,5.0,1116115200
2117,350,4.0,1076284800
2117,8,4.0,1174262400
2117,1135,1.0,1079654400
2117,1020,5.0,1065744000
2117,8850,4.0,1066003200
2117,923,3.0,1073433600
2117,974,3.0,1080518400
2117,191,5.0,1172707200
2117,94,3.0,1064880000
2117,789,5.0,1073174400
2117,2161,4.0,1073433600
2117,5,5.0,1081814400
2117,3,5.0,1078185600
2117,963,1.0,1074643200
1814,39,5.0,1237334400
1814,4011,5.0,1233014400
1814,972,5.0,1268870400
1814,99,5.0,1258156800
1814,4537,5.0,1266883200
1814,1144,5.0,1145232000
1814,6453,4.0,1243209600
1814,1412,4.0,1238112000
1814,6962,4.0,1146355200
1814,33,5.0,1227744000
1814,2353,5.0,1240358400
1814,2023,4.0,1233964800
1814,1952,3.0,1238025600
1814,8489,4.0,1235088000
1814,281,5.0,1145404800
1814,960,5.0,1233619200
1814,28,5.0,1226620800
1814,5566,4.0,1145836800
1814,555,4.0,1233792000
1814,4800,4.0,1241740800
1814,6209,4.0,1240444800
1814,9253,4.0,1233619200
1814,7106,4.0,1239580800
1814,2445,5.0,1189900800
1814,2668,4.0,1190073600
1814,1400,4.0,1243555200
1814,5705,5.0,1236902400
1814,3861,4.0,1241222400
1814,1397,4.0,1189555200
1814,1516,4.0,1237766400
1814,1781,4.0,1146182400
1814,3112,4.0,1233792000
1637,581,4.0,956448000
1637,40,3.0,943228800
1637,6895,3.0,939772800
1637,823,3.0,919814400
1637,1578,2.0,936230400
1637,2526,5.0,1047081600
1637,6976,1.0,919814400
1637,1130,1.0,962323200
1637,2273,3.0,940291200
1637,527,2.0,919814400
1637,1108,2.0,999820800
1637,2582,1.0,1029110400
1637,400,4.0,1098489600
1637,33,2.0,917827200
1637,609,1.0,971395200
1637,1228,4.0,917827200
1637,4128,5.0,924220800
1637,3,2.0,1095552000
1637,1107,2.0,920592000
1637,1429,5.0,1033171200
1137,503,5.0,1249603200
1137,1955,5.0,1248998400
1137,1646,5.0,1256428800
1137,4450,5.0,1269129600
1137,6472,5.0,1265932800
1137,6401,4.0,1259107200
1137,201,5.0,1296950400
1137,1128,1.0,1258675200
1137,1054,3.0,1259625600
1137,5171,5.0,1248998400
1137,3,1.0,1279670400
3619,8800,5.0,1263340800
3619,87,4.0,1362182400
3619,980,5.0,1327276800
3619,278,4.0,1359676800
3619,2598,3.0,1289174400
3619,7102,5.0,1243209600
3619,820,1.0,1355356800
3619,1514,1.0,1279411200
3619,804,5.0,1362528000
3619,8743,5.0,1256774400
3619,8759,5.0,1358035200
3619,7168,3.0,1284076800
3619,3859,5.0,1343865600
3619,155,5.0,1362182400
3619,6614,5.0,1344038400
3619,3442,5.0,1255219200
3619,702,5.0,1255219200
3619,5681,5.0,1355270400
3619,10228,4.0,1365120000
3619,1835,4.0,1359763200
3619,10261,5.0,1393891200
3619,2565,1.0,1283212800
3619,269,4.0,1359763200
3619,327,2.0,1360195200
3619,1213,3.0,1240963200
3619,187,4.0,1341360000
3619,2148,3.0,1362182400
3619,3763,5.0,1279756800
3619,3825,5.0,1355356800
3619,6648,5.0,1300233600
3619,2146,5.0,1105142400
3619,750,5.0,1277424000
2291,1145,5.0,1087516800
2291,333,5.0,1101772800
2291,83,4.0,1104710400
2291,1193,2.0,1104451200
2291,9124,3.0,1188432000
2291,699,4.0,1101254400
2291,3,4.0,1101600000
2291,2755,4.0,1101772800
2291,1048,4.0,1101772800
2291,139,4.0,1023840000
2291,3802,3.0,1110672000
2291,656,4.0,1214092800
2291,4080,3.0,1087430400
2291,6553,3.0,1107129600
2291,2786,3.0,999648000
2291,265,4.0,1032998400
2291,441,3.0,1185235200
2291,123,3.0,1103500800
2291,622,5.0,1101772800
2291,5353,4.0,1086393600
2291,42,3.0,1101254400
2291,6143,5.0,1087776000
2291,3863,5.0,1015718400
2291,4461,3.0,1105833600
2291,8872,2.0,1032998400
2291,78,4.0,1101859200
2291,915,5.0,1087430400
2291,6969,3.0,1121558400
2291,2077,3.0,1116288000
2291,3822,3.0,1102204800
2291,561,5.0,1101772800
2291,1289,1.0,1036108800
1553,6473,3.0,1126224000
1553,6827,3.0,1106265600
1553,2672,4.0,1091491200
1553,224,3.0,1093910400
1553,4126,3.0,1136678400
1553,1554,3.0,1147737600
1553,2065,4.0,1162771200
1553,2743,3.0,1136332800
1553,5648,2.0,1139788800
1553,511,4.0,1095120000
1553,4043,3.0,1199836800
1553,10318,4.0,1077235200
1553,267,1.0,1224374400
1553,5885,3.0,1098057600
1553,112,3.0,1168128000
1553,121,3.0,1104192000
1553,981,3.0,1097539200
1553,3193,4.0,1145491200
1553,2640,4.0,1142467200
1553,100,3.0,1192233600
1553,2842,4.0,1070582400
1553,1452,3.0,1127952000
1553,804,3.0,1090713600
1553,8229,2.0,1078444800
1553,1571,3.0,1127692800
1553,1756,3.0,1091577600
1553,2017,3.0,1086566400
1553,240,3.0,1112486400
1553,1666,3.0,1072569600
1553,3311,3.0,1101254400
1553,380,3.0,1111449600
1553,1316,4.0,1130112000
1367,3339,5.0,1094428800
1367,5434,4.0,1113696000
1367,7090,5.0,1113177600
1367,558,4.0,1040860800
1367,990,5.0,1113177600
1367,2213,5.0,1039737600
1367,940,4.0,1042934400
1367,912,5.0,1144281600
1367,56,5.0,1086134400
1367,9885,5.0,1234051200
1367,1847,5.0,1098403200
1367,17,5.0,1126569600
1367,125,4.0,1043280000
1367,5631,5.0,1114473600
1367,690,5.0,1086134400
1367,4177,4.0,1110153600
1367,1373,4.0,1120780800
1367,382,5.0,1038268800
1367,8934,4.0,1081296000
1367,2725,3.0,1093910400
1367,687,4.0,1108512000
1367,7477,4.0,1048723200
1367,413,4.0,1068422400
1367,773,4.0,1296950400
1367,576,5.0,1045958400
1367,2191,4.0,1103328000
1367,3032,4.0,1143590400
1367,7591,4.0,1132531200
1367,1251,4.0,1102291200
1367,795,5.0,1043884800
1367,7016,5.0,1125273600
1367,197,3.0,1197763200
7093,73,5.0,1171152000
7093,1292,3.0,1397088000
7093,3337,5.0,1403740800
7093,5598,5.0,1396137600
7093,3,2.0,1399852800
7093,1954,5.0,1396828800
7093,2856,5.0,1397520000
7093,6665,5.0,1394755200
7093,6674,5.0,1397520000
7093,4042,5.0,1349481600
1774,791,4.0,1086739200
1774,4,5.0,1129593600
1774,5212,4.0,1112745600
1774,1074,4.0,1084406400
1774,9564,3.0,1152403200
1774,2187,4.0,1137974400
1774,1510,4.0,1129939200
1774,106,3.0,1088208000
1774,1084,4.0,1092787200
1774,2048,4.0,1113177600
1774,6037,5.0,1144713600
1774,2637,5.0,1129939200
1774,25,5.0,1187481600
1774,8074,4.0,1199059200
1774,974,4.0,1095465600
1774,1156,4.0,1116806400
1774,2216,2.0,1092355200
1774,1947,5.0,1108339200
1774,8831,5.0,1144713600
1774,4321,4.0,1147910400
1774,3396,5.0,1213574400
1774,8747,4.0,1152748800
1774,1448,3.0,1087084800
1774,650,5.0,1200960000
1774,420,4.0,1109462400
1774,40,5.0,1088208000
1774,2017,5.0,1116979200
1774,273,5.0,1114646400
1774,1133,5.0,1088726400
1774,624,4.0,1383436800
1774,5,5.0,1103760000
1774,681,3.0,1193788800
1106,480,5.0,1076198400
1106,1747,5.0,1075248000
1106,1480,5.0,1079654400
1106,540,4.0,1077494400
1106,1564,5.0,1084320000
1106,6838,4.0,1084406400
1106,5331,5.0,1076889600
1106,2844,5.0,1075248000
1106,31,3.0,1084320000
1106,308,4.0,1077235200
1106,1027,5.0,1077494400
1106,3838,5.0,1073779200
1106,3054,5.0,1073779200
1106,3,4.0,1083801600
1106,2316,5.0,1076889600
1106,698,5.0,1076976000
1106,914,5.0,1073865600
1106,944,5.0,1076198400
1106,3347,5.0,1077580800
1106,1802,5.0,1076889600
1106,2757,3.0,1075248000
1076,7366,5.0,1234828800
1076,5843,4.0,1019520000
1076,100,5.0,1197504000
1076,10250,1.0,1098316800
1076,1880,3.0,1344729600
1076,2444,1.0,1240790400
1076,171,5.0,980812800
1076,80,3.0,1098316800
1076,5151,5.0,1234828800
1076,562,5.0,1232323200
1076,2181,5.0,1237334400
1076,612,5.0,1230681600
1076,3105,5.0,1023580800
1076,2540,4.0,1250553600
1076,4010,2.0,1050364800
1076,3,4.0,1096848000
1076,290,5.0,1132099200
1076,2945,2.0,1045785600
1076,715,5.0,1079654400
1076,342,5.0,1137888000
1076,216,5.0,1149033600
1076,94,4.0,1098316800
1076,2329,4.0,1361318400
1076,7506,1.0,1092528000
1152,1198,4.0,1095724800
1152,5116,1.0,1097193600
1152,507,5.0,1100044800
1152,6451,4.0,1088985600
1152,2476,4.0,1091923200
1152,1888,3.0,1090886400
1152,2631,4.0,1092268800
1152,139,5.0,1086307200
1152,1593,2.0,1092960000
1152,1862,3.0,1087171200
1152,3213,3.0,1100649600
1152,6508,5.0,1107993600
1152,3091,5.0,1103068800
1152,2158,4.0,1096416000
1152,810,5.0,1084838400
1152,3869,4.0,1093305600
1152,464,5.0,1084838400
1152,544,3.0,1093219200
1152,2216,2.0,1086480000
1152,393,4.0,1093219200
1152,2694,4.0,1100736000
1152,2398,2.0,1093824000
1152,2081,1.0,1092268800
1152,3599,3.0,1092268800
1152,4474,3.0,1102982400
1152,969,5.0,1091664000
1152,1808,4.0,1100044800
1152,1934,4.0,1124928000
1152,4393,3.0,1092268800
1152,119,5.0,1092873600
1152,171,5.0,1100736000
1152,1219,2.0,1094515200
2936,4217,5.0,1032566400
2936,3,3.0,1095638400
2936,5428,4.0,1212883200
2936,4765,4.0,1073865600
2936,4021,4.0,1211155200
2936,3944,4.0,1208649600
2936,5988,3.0,1051574400
2936,125,4.0,1070841600
2936,1162,1.0,1173657600
2936,2273,1.0,1178236800
2936,2955,3.0,1102982400
2936,3462,3.0,1090972800
2936,1689,2.0,1212883200
2936,6938,5.0,1097798400
2936,9044,5.0,1056758400
2936,3349,4.0,1131148800
2936,2790,4.0,1147651200
2936,263,2.0,1215043200
